('A', 'H')	1311	0.809499	0.160543
('E', 'A')	1155	0.758436	0.184353
('C', 'A')	375	0.800165	0.193045
('P', 'A')	131	0.736626	0.184513
('P', 'H')	117	0.800282	0.160008
('A', 'E')	73	0.826872	0.158638
('E', 'C')	57	0.831477	0.173880
('C', 'E')	55	0.816510	0.144324
('D', 'H')	57	0.773525	0.192889
('E', 'D')	27	0.870089	0.169235
('D', 'A')	28	0.723940	0.192154
('R', 'A')	23	0.774573	0.229834
('S', 'H')	22	0.760468	0.193131
('P', 'E')	19	0.850534	0.167294
('A', 'C')	18	0.866239	0.119635
('S', 'A')	17	0.845382	0.171504
('H', 'A')	18	0.792235	0.141898
('H', 'E')	11	0.834129	0.098076
('C', 'D')	9	0.912942	0.113888
('E', 'P')	8	0.831631	0.173901
('R', 'E')	9	0.720699	0.209515
('E', 'H')	6	0.793733	0.222640
('R', 'D')	4	0.773656	0.115346
('D', 'E')	3	0.730304	0.037893
('P', 'C')	2	0.986432	0.019188
('S', 'E')	3	0.652681	0.064599
('C', 'S')	2	0.958442	0.058771
('C', 'P')	2	0.817592	0.024879
('N', 'A')	2	0.743473	0.245390
('D', 'C')	2	0.707863	0.192947
('C', 'L')	1	1.000000	0.000000
('S', 'C')	1	0.968924	0.000000
('E', 'S')	1	0.916885	0.000000
('N', 'C')	1	0.888889	0.000000
('G', 'H')	1	0.880000	0.000000
('E', 'L')	1	0.874680	0.000000
('G', 'A')	1	0.783555	0.000000
('R', 'L')	1	0.777617	0.000000
('U', 'H')	1	0.751805	0.000000
('N', 'H')	1	0.526316	0.000000
('U', 'A')	1	0.446929	0.000000
